25-jährige;25-year-old
 Kürzung;Reduction
 Gleichwohl;Nevertheless
 üben;to practice
 Umfragen;Survey
 Ausländern;foreigners
 Berge;Mountains
 fehlende;missing
 Schrecken;Scare
 Jagd;Hunt
 angesagt;hip, trendy, popular
 rechtlich;legally
 sorgten;worried
 verweisen;refer
 erfordert;requires
 hessische;Hessian
 VfB;VfB
 erweitern;expand
 Abschiebung;Deportation
 begegnet;encountered
 Demokraten;Democrats
 übers;over
 bevorzugt;prefers
 dauerte;took
 beruht;is based
 Blumen;flowers
 gezählt;counted
 Ulm;Ulm
 Träume;Dreams
 einbezogen;included
 fünfzehn;fifteen
 gekürzt;cut
 Photos;photos
 fester;solid
 kehrte;returned
 wechselt;switches
 Resultat;Result
 Beschwerden;Complaints
 zweifellos;certainly
 Denkmal;Monument
 zurückgezogen;withdrawn
 Design;Design
 Erholung;Recreation
 gelebt;lived
 Frankfurt;Frankfurt
 am;at the
 Main;Main
 gedroht;threatened
 Lateinamerika;Latin America
 Mo;Mo
 Prinz;Prince
 Marktplatz;marketplace
 Dirk;Dirk
 Café;Coffee shop
 Acht;Eight
 unbekannten;unknown
 Mandat;Mandate
 Haftbefehl;Arrest warrant
 spätere;later
 diente;served
 Parkplatz;Parking spot
 Künstlern;artists
 Materials;material
 G.;G.
 zwangsläufig;inevitably
 Vögel;birds
 zählte;counted
 Busse;Buses
 Video;Video
 digitale;digital
 Albert;Albert
 Rezession;Recession
 Pferde;horses
 Schriften;writings
 bekämpfen;fight
 Wirtschaftspolitik;Economic policy
 Bestellung;Order
 Hunde;Dogs
 Quadratmetern;square meters
 Orte;Places
 schlimm;bad
 Gedanke;Thought
 Beste;Best
 nichts;Nothing
 zu;to
 tun;do
 Legislaturperiode;Legislature
 Interviews;interviews
 fünfte;fifth
 untereinander;among themselves
 trugen;carried
 Selbstmord;Suicide
 früherer;earlier
 Schuhe;Shoes
 ausgeglichen;balanced
 Unsicherheit;Uncertainty
 privat;Private
 Medium;Medium
 Unbekannte;Unknown
 etc.;Etc.
 abgelegt;stored
 schwedischen;Swedish
 sichere;safe
 bosnische;Bosnian
 Initiativen;initiatives
 Friedhof;Graveyard
 Wände;Walls
 stärkere;stronger
 e.V.;eV
 Bayerische;Bavarian
 Konten;accounts
 wem;whom
 Empfänger;Receiver
 Renten;pensions
 typisch;typical
 Arbeitsgemeinschaft;Working Group
 heuer;this year
 Strecken;Stretch
 US-Präsident;US President
 Tal;Valley
 Linke;Left
 beeinflußt;affected
 Votum;Vote
 natürliche;natural
 vorhandene;existing
 angemessen;reasonable
 komplette;complete
 Weimar;Weimar
 Demonstrationen;demonstrations
 Milch;Milk
 Anmeldung;Registration
 vergleichen;to compare
 Monats;month
 sportlichen;sports
 chemische;chemical
 Moslems;Muslims
 reich;rich
 Rhythmus;Rhythm
 Werten;values
 Japans;Japan
 Glaubwürdigkeit;Credibility
 mangelnde;lack
 übersetzt;translated
 landen;land
 F.;F .
 Ehepaar;Married couple
 wiederholen;to repeat
 Netanjahu;Netanyahu
 Genuß;Enjoyment
 Mängel;Defects
 garantieren;to guarantee
 Coach;Coach
 Reihenfolge;Sequence
 Siedlung;Settlement
 kletterte;climbed
 illegalen;illegal
 schickt;sends
 Instrumente;instruments
 Globalisierung;Globalization
 sorgfältig;careful
 Springen;Jump
 Kieler;Kiel
 Welle;Wave
 fehlten;were missing
 traten;occurred
 Schock;Shock
 negative;negative
 nötige;necessary
 Möglicherweise;possibly
 RWE;RWE
 Ford;Ford
 Glanz;Shine
 Schlacht;Battle
 wirbt;advertises
 kostete;cost
 Anordnung;Arrangement
 vereinbarten;agreed
 erwies;proved
 signalisiert;signals
 Bochum;Bochum
 Charme;Charm
 begrüßte;welcomed
 Freilassung;Release
 Ankunft;Arrivals
 Ingrid;Ingrid
 Gibt;Gives
 ökologisch;ecologically
 Bundestagswahl;Federal Parliament election
 Verhandlung;Negotiation
 Klavier;Piano
 Faktor;Factor
 endgültigen;final
 Bundesfinanzminister;Minister of Finance
 schickte;sent
 Söhne;sons
 Liberalisierung;Liberalization
 Verleger;Publisher
 Vereinbarungen;Agreement
 Terroristen;terrorists
 Toren;gates
 Pakistan;Pakistan
 Aufregung;Excitement
 unterhalb;below
 Übersetzung;Translation
 Texten;texts
 strategische;strategic
 Pflegeversicherung;Care insurance
 Investor;Investor
 Konditionen;conditions
 vorgesehene;provided
 kannte;knew
 unbekannt;unknown
 Krebs;Cancer
 Infotyp;Typ
 Jahresbeginn;Beginning of the year
 offener;open
 Rühe;Rühe
 Triumph;Triumph
 rät;advises
 Zahlungen;payments
 Engländer;English people
 chemischen;chemical
 mühsam;cumbersome
 ausbauen;Remove
 auszuschließen;excluded
 konservative;conservative
 E.;e .
 stattgefunden;occurred
 notfalls;if necessary
 bedingt;conditionally
 umgehend;immediately
 Wüste;Desert
 Zuschuß;Grant
 wenigsten;least
 Kommune;Commune
 Gewerbe;Business
 Experiment;Experiment
 Darüber;About that
 angepaßt;customized
 transportiert;transported
 indessen;however
 D-Mark;D-Mark
 Dortmunder;Dortmund
 veränderten;altered
 Daraus;thereof
 gänzlich;entirely
 Österreicher;Austrian
 Dasa;The A
 bester;best
 Zahlreiche;numerous
 Interpretation;Interpretation
 Bundestages;Bundestag
 Daraufhin;then
 Jahrestag;Anniversary
 Christa;Christa
 Bergen;mountains
 geladen;loaded
 Grundlagen;Foundations
 Dingen;Things
 belasten;matters
 Steine;stones
 Feldern;fields
 Landstraße;Highway
 Ermittler;investigators
 HSV;HSV
 künstlerischen;artistic
 Ausbruch;Outbreak
 Beschlüsse;Decisions
 außerordentlich;extremely
 anzubieten;offer
 liebe;love
 ausgestellt;displayed
 streichen;to brush
 Stadthalle;City Hall
 Pferd;Horse
 Vietnam;Vietnam
 längeren;longer
 ausgeben;output
 erzielten;achieved
 Währungen;currencies
 Darlehen;Loan
 bekanntgegeben;announced
 Kälte;Cold
 Tennis;Tennis
 EM;EM
 siebziger;seventies
 Jahre;years
 Lektüre;Reading
 Zelle;Cell
 Chinesen;Chinese
 prüft;checks
 Projekts;project
 Ermordung;Assassination
 Lesung;Reading
 Einzelfall;Individual cases
 Erkenntnissen;findings
 fern;remote
 heiß;hot
 vornehmlich;mainly
 Logik;Logic
 Gattung;Genus
 Schwung;swing
 Staatschef;Head of state
 Stasi;Stasi
 Hildegard;Hildegard
 Bestehen;Consist
 derzeitige;current
 indirekt;indirectly
 fällig;due
 Aids;AIDS
 Anleihen;bonds
 Warschau;Warsaw
 womit;by which
 Fernseher;TV
 Weltbank;World Bank
 Hauptbahnhof;Central Station
 räumen;clear
 gedreht;turned
 stellvertretender;Deputy
 vor;in front
 Steuern;Control
 Gedicht;Poem
 Male;Times
 siebziger;seventies
 Jahren;years
 beschränken;restrict
 gewähren;grant
 angeordnet;arranged
 Rekord;Record
 Vergnügen;Pleasure
 Erklärungen;Explanations
 erfunden;invented
 beseitigt;eliminated
 zulässig;permitted
 Koalitionspartner;Coalition partners
 Gutachter;appraiser
 rechtlichen;legal
 erwarte;expect
 nördlichen;north
 Auschwitz;Auschwitz
 Europäische;European
 beantwortet;answered
 genießt;enjoy
 achtziger;eighties
 Jahren;years
 erfolgte;took place
 Füße;feet
 wechselte;changed
 Gerichtshof;Court
 Wichtig;Important
 anstatt;instead of
 älteste;oldest
 Baustelle;Building site
 arbeitslos;unemployed
 Nord;North
 Geduld;Patience
 beweist;proves
 verbundenen;connected
 eingetragen;registered
 Dörfer;Villages
 Steuerzahler;Taxpayer
 Nachbarschaft;Neighborhood
 unterschiedlicher;different
 Muslime;Muslims
 Tips;Tips
 Elf;Eleven
 Krankenhäuser;hospitals
 Aufnahmen;Recordings
 Vermarktung;Marketing
 Kontinent;Continent
 beseitigen;remove
 billig;cheap
 präsent;present
 jetzige;current
 musikalischen;musical
 Jahresüberschuß;Net income
 ihrerseits;turn
 Ach;Oh
 verwirklichen;implement
 Mainzer;Mainz
 Schichten;Layers
 Ärzten;physicians
 erwartete;expected
 Sex;Sex
 Lyrik;Poetry
 gespeichert;saved
 Torwart;Goalkeeper
 vornherein;outset
 Platte;Plate
 Ressourcen;Resources
 Restaurants;restaurants
 saßen;sat
 enorm;enormously
 orientiert;oriented
 Verfahrens;process
 Knapp;Knapp
 Ersten;first
 prompt;prompt
 Vereinen;associations
 Markus;Markus
 Differenzen;differences
 Präsidium;Bureau
 taucht;surfaced
 Bad;Bath
 Homburg;Homburg
 blockiert;blocked
 hohes;high
 Leiterin;Head
 Justizminister;Minister of Justice
 Umstände;Circumstances
 festhalten;hold tight
 fortan;henceforth
 strikt;strictly
 Einwohnern;population
 musikalische;musical
 Entsprechend;Corresponding
 Feier;Celebration
 Väter;fathers
 Israelis;Israelis
 Filialen;stores
 http;http
 verzeichnen;recorded
 asiatischen;Asian
 erweisen;turn out
 französischer;French
 Ursprünglich;Originally
 Deswegen;That's why
 mochte;would like to
 knappen;scarce
 kräftigen;powerful
 Bein;Leg
 Klar;Clear
 ökonomischen;economic
 individuellen;individual
 verkaufte;sold
 derer;those
 Auszeichnung;Award
 Teilnehmern;participants
 Songs;songs
 beachten;note
 gleichsam;as it were
 Parlamentarier;parliamentarians
 schweigen;silence
 Schwächen;Weaknesses
 bürgerlichen;civil
 lachen;laugh
 Bundesland;Federal state
 Stärkung;Strengthening
 Anwender;User
 Boeing;Boeing
 usw;etc
 schießen;shoot
 Gebäudes;building
 Töchter;daughters
 Wäre;Would
 Chefredakteur;Editor in chief
 Absturz;Crash
 mehrheitlich;majority
 Boot;Boat
 Alpen;Alps
 landete;landed
 Fahrbahn;Roadway
 verschärft;exacerbated
 locken;Curls
 Dessen;Whose
 SPD-Fraktion;SPD fraction
 gewordenen;become
 kümmert;takes care
 ggf.;possibly.
 öffentlichen;public
 Dienst;Service
 Fünftel;Fifth
 religiöse;religious
 Mehrzahl;plurality
 Feind;Enemy
 beklagen;complain
 Unruhe;restlessness
 fühle;feel
 Dichtung;Poetry
 Fahrzeugen;vehicles
 verrät;betrays
 z.;z .
 B.;B .
 Nutzer;users
 verbringen;spend
 beides;both
 Wahrscheinlich;Probably
 Priester;Priest
 nutzte;used
 armen;poor
 überlebt;survived
 Talent;Talent
 österreichische;Austrian
 herkömmlichen;usual
 Festnahme;Arrest
 ältesten;oldest
 einrichten;set up
 Angelika;Angelika
 berechtigt;entitled
 Student;College student
 kauft;buys
 Kuba;Cuba
 angesetzt;set
 rechtliche;legal
 Stichwort;Keyword
 Dynamik;Dynamics
 Budapest;Budapest
 Lücke;Gap
 versorgen;supply
 Übersicht;Overview
 Chefs;Chefs
 gewaltigen;powerful
 Mond;Moon
 Tragödie;Tragedy
 Kräften;forces
 Landtagswahl;State election
 Neu;New
 Legende;Legend
 niederländische;Dutch
 Zivilisten;civilians
 Mi;mi
 Spätestens;No later than
 Bosnien-Herzegowina;Bosnia Herzegovina
 Volkshochschule;Community College
 vergleichbar;comparable
 Ruanda;Rwanda
 Fahrrad;Bicycle
 bescheiden;modest
 selbständig;independent
 Ankara;Ankara
 weibliche;female
 Nachteil;Disadvantage
 Wenig;Little
 Staatsregierung;State Government
 aktuell;current
 identifiziert;identified
 Zulassung;approval
 Paß;Passport
 Revision;audit
 mittlere;middle
 Pro;Per
 Linien;lines
 gutem;good
 infolge;as a result
 Kämpfer;Fighter
 Grundschule;Primary school
 Verzweiflung;Despair
 Autonomie;Autonomy
 Bewährung;Probation
 unternommen;made
 Erträge;income
 umfangreichen;extensive
 jüngster;recently
 bestimmter;certain
 wichtiges;important
 Hoffmann;Hoffmann
 Eintrag;Entry
 Patient;Patient
 fördert;promotes
 Eigentum;Property
 Grundstücke;Real estate
 besuchte;visited
 eingehalten;complied with
 Stationen;stations
 Jubiläum;Anniversary
 Bad;Bath
 Freien;free
 Erwartung;expectation
 künstlerische;artistic
 gestärkt;strengthened
 weitergehen;go on
 zusammengefaßt;summarized
 rücken;move
 Vorbereitungen;preparations
 Biographie;Biography
 annähernd;nearly
 Physiker;Physicist
 Reporter;Reporter
 Strich;stroke
 privater;private
 sechsten;sixth
 stärkste;strongest
 strebt;sought
 Boris;Boris
 Becker;Becker
 suchten;sought
 lernt;learns
 Bestimmung;Determination
 abgesetzt;discontinued
 wisse;know
 van;van
 Rechts;Right
 ÖTV;OTV
 Hunger;Hunger
 manuell;manually
 notiert;written down
 stört;disturbs
 Group;Group
 angefangen;begun
 Marktführer;Leader
 Heim;Home
 Rätsel;Mystery
 beurteilen;judge
 Jäger;Hunter
 gedrängt;crowded
 gedruckt;printed
 schriftlich;written
 Installation;Installation
 unternehmen;Companies
 schuld;fault
 lacht;laughs
 Einhaltung;Observance
 Stille;Silence
 Schwarzen;Black
 Lothar;Lothar
 gesteckt;plugged
 Zuhörer;Listeners
 Museums;Museum
 STUTTGART;STUTTGART
 Urlauber;leisure
 Orientierung;Orientation
 nächster;Next
 bestreiten;deny
 oftmals;often
 Bagdad;Baghdad
 ewig;forever
 Untersuchungshaft;Custody
 Roland;Roland
 Prinzipien;principles
 steuert;controls
 heutzutage;these days
 unwahrscheinlich;unlikely
 Piloten;pilot
 maßgeblich;relevant
 Hubschrauber;Helicopter
 herstellen;produce
 globale;global
 einigermaßen;reasonably
 Bulgarien;Bulgaria
 geredet;spoken
 Keiner;none
 absoluten;absolute
 sinkt;sinks
 Eingriff;engagement
 überwunden;overcome
 Werkstatt;Workshop
 Chicago;Chicago
 Rentenversicherung;pension insurance
 springen;jump
 Zusage;commitment
 angesiedelt;settled
 stören;to disturb
 Verurteilung;conviction
 interessante;interesting
 verlief;ran
 Erscheinung;appearance
 Birgit;Birgit
 Main;Main
 argumentiert;argues
 New;New
 ergänzen;complete
 abgestimmt;Voted
 Überwachung;Monitoring
 Kapazität;Capacity
 Kapazitäten;Capacities
 Mehrwertsteuer;VAT
 Größenordnung;Magnitude
 Ertrag;earnings
 bewahrt;preserved
 erkannte;recognized
 baden-württembergischen;Baden-Württemberg
 anstehenden;pending
 sportliche;sports
 gefährlichen;dangerous
 Hilfen;Help
 Maßstab;Scale
 Geste;Gesture
 ausgewählten;chosen
 auswählen;choose
 Verwaltungsgericht;Administrative Court
 Freilich;Of course
 realisieren;implement
 bestritten;denied
 gebürtige;native
 Knoten;Node
 blicken;look
 Zone;Zone
 wen;whom
 anderthalb;and a half
 Aufenthalt;Stay
 Rad;Wheel
 Wille;Will
 richtete;teaching
 versagt;failed
 Zuletzt;Last
 Exemplare;copies
 Schulter;Shoulder
 Expansion;Expansion
 angetreten;begun
 gewünscht;desired
 Edmund;Edmund
 Stoiber;Stoiber
 begriffen;conceived
 Trost;consolation
 Verfasser;Author
 Zum;To the
 anderen;other
 Abitur;High School
 Wenige;Few
 lieferte;provided
 liefen;walked
 Kohle;Coal
 unterschrieben;signed
 Zuschlag;surcharge
 Bürgerinitiative;Citizens' Initiative
 Geschäften;shops
 Mißtrauen;Mistrust
 Schmerzen;Pain
 entlastet;relieved
 Reinhard;Reinhard
 Bayern;Bavaria
 München;Munich
 Europäische;European
 Union;Union
 Tatsachen;facts
 tatsächlichen;actual
 Freiburger;Freiburg
 wirkliche;real
 strengen;strict
 Ironie;Irony
 Asyl;Asylum
 ständige;constant
 unlängst;recently
 Kapitalerhöhung;capital increase
 träumen;dream
 praktische;practical
 moralische;moral
 deutsches;German
 zunehmenden;increasing
 bedeutendsten;important
 Kommunalwahl;municipal election
 Empörung;Indignation
 jüngere;younger
 fehlenden;missing
 herzustellen;manufacture
 verteidigte;defended
 Russland;Russia
 Mittelalter;Middle Ages
 Buchstaben;letters
 Zorn;Anger
 Nordamerika;North America
 baute;built
 Begriffe;terms
 angekommen;arrived
 Knochen;Bone
 fremde;foreign
 Mieten;Rent
 Konsolidierung;consolidation
 leistet;making
 Produzenten;producers
 zeichnen;to draw
 abgeschafft;abolished
 bewirkt;causes
 Berücksichtigung;into account
 Wiesbadener;Wiesbaden
 Früchte;Fruit
 fremd;strange
 Umwandlung;Conversion
 wagen;dare
 nachhaltig;sustainable
 K;K
 Häftlinge;Prisoners
 zerstören;to destroy
 Listen;lists
 afrikanischen;African
 Abbruch;Cancellation
 Richtlinien;Directives
 en;s
 niedersächsischen;Lower Saxony
 Demnach;Therefore
 Sparte;Branch
 Thailand;Thailand
 vorläufigen;provisional
 Siehe;Please refer
 notierte;listed
 schwache;weakness
 Aufforderung;prompt
 ausschließen;exclude
 Broschüre;Brochure
 Stuhl;Chair
 lauten;ring
 Wahrscheinlichkeit;Probability
 Wärme;Warmth
 verwirklicht;realized
 Devise;foreign exchange
 Konservativen;conservative
 Kameras;cameras
 ausführlich;detail
 wirklichen;real
 Vorfall;Incident
 Mafia;Mafia
 Ängste;Fears
 Polizist;Police officer
 starker;stronger
 Decke;Blanket
 auslösen;trigger
 Mannheimer;Mannheim
 freigegeben;Approved
 Passanten;passers-by
 Bald;Soon
 aufkommen;come up
 ändern;to change
 Sollten;Should
 Bruno;Bruno
 beschließen;decide on
 unterrichtet;informed
 Budget;Budget
 Katholiken;Catholics
 gefährliche;dangerous
 sowjetische;Soviet
 begleiten;accompany
 attraktiv;attractive
 Krone;Crown
 Sterne;stars
 Jahrzehnt;Decade
 Wiese;Meadow
 jegliche;any
 Block;Block
 Grab;Dig
 entnehmen;remove
 Viertelfinale;Quarter-finals
 kritisieren;criticize
 dicke;thickness
 Freigabe;Release
 Autorität;Authority
 Streiks;strikes
 soeben;just
 dieselbe;the same
 Dilemma;Dilemma
 Wohlstand;Prosperity
 beruflichen;professional
 Selbstbewußtsein;Self-confidence
 Aussteller;Exhibitors
 Standorte;Locations
 fängt;catches
 Fisch;Fish
 Hitze;Heat
 Epoche;Epoch
 Rückstand;Residue
 entdeckten;discovered
 lägen;subject to it
 angeklagt;accused
 benötigten;required
 rechtfertigen;justify
 Gestalten;Shape
 Plötzlich;Suddenly
 verknüpft;connected
 Bundesamt;Federal Office
 Erlös;Proceeds
 Rudolf;Rudolf
 Scharping;Scharping
 Finanzministerium;Ministry of Finance
 Ost;East
 und;and
 West;West
 real;real
 Trio;Trio
 Seoul;Seoul
 verläuft;runs
 klagte;complained
 Schauspielerin;Actress
 Anhörung;Hearing
 Rasen;Race
 Prozentpunkte;Percentage points
 Ferne;Distance
 Vorrang;Priority
 verfügbar;available
 Mandanten;clients
 Cursor;Cursor
 Jelzins;Yeltsin
 verurteilte;condemned
 Projekten;projects
 begrüßen;welcome
 insofern;so far
 bedeutende;important
 gewählten;selected
 com;com
 Annäherung;approach
 Mindestens;At least
 La;La
 Erfindung;Invention
 Bauten;Buildings
 Verbesserungen;improvements
 Drohung;Threat
 gegründeten;founded
 verabschieden;saying goodbye
 beklagte;defendant
 geistigen;spiritual
 längerem;long
 protestiert;protests
 Zigaretten;cigarettes
 Mitgliedschaft;Membership
 C.;C .
 D.;D .
 bedenken;concerns
 spiegelt;mirrors
 Verwandten;Relatives
 fliegt;flying
 merkt;noted
 Schulz;Schulz
 Gerichts;Court
 gemeinsames;common
 vernichtet;destroyed
 Unruhen;riots
 Friedensprozeß;Peace process
 Leinwand;Canvas
 tödlich;deadly
 ausgebildet;educated
 dunkle;dark
 bestreitet;contests
 nebenbei;by the way
 Verschiebung;Shift
 Ausweg;way out
 irakischen;Iraqi
 Rot;Red
 einstige;former
 Unterschriften;signatures
 Panik;Panic
 untersagt;prohibited
 literarische;literary
 Inhaber;Owner
 Rache;Revenge
 Differenz;Difference
 Duisburg;Duisburg
 Priorität;Priority
 Susanne;Susanne
 Willi;Willi
 Legen;Lay
 versammelt;gathered
 Ebenen;levels
 Köpfen;heads
 Original;Original
 online;on-line
 Ingenieure;engineers
 schuf;created
 Kirch;Kirch
 Gaststätte;Restaurant
 inmitten;midst
 Beurteilung;Evaluation
 sicherte;secured
 fehle;lacking
 Kliniken;clinics
 Sarajevo;Sarajevo
 Schreibtisch;Writing desk
 gesund;healthy
 stürzen;fall
 Jens;Jens
 typischen;typical
 lokale;local
 Neuwahlen;elections
 Möller;Möller
 Turm;Tower
 tanzen;dance
 Party;Party
 warfen;threw
 Appell;Appeal
 erreichbar;reachable
 Albanien;Albania
 VfB;VfB
 Stuttgart;Stuttgart
 Erwin;Erwin
 Meyer;Meyer
 Spielzeit;Season
 beliebt;popular
 Konzerte;concerts
 Süd;South
 angekündigten;announced
 X;X
 besonderes;special
 vorliegt;is present
 ausgerichtet;aligned
 Technologien;technologies
 zusammenarbeiten;collaborate
 bewerten;rate
 Grosny;Grozny
 Soldat;Soldier
 Hochzeit;Wedding
 verstärkte;amplified
 umsonst;free
 belgischen;Belgian
 Akteure;Actors
 Intendant;director
 Akzeptanz;Acceptance
 überlegt;considered
 spürt;feel
 Silber;Silver
 Metropole;Metropolis
 nachträglich;subsequently
 Terror;Terror
 Bundesverband;Federal Association
 setze;set
 Standards;standards
 nächstes;next
 Krankenversicherung;Health insurance
 gegebenenfalls;possibly
 Entsorgung;Disposal
 antwortete;replied
 frühzeitig;early
 Versöhnung;Reconciliation
 befanden;were
 Fremde;strangers
 Arbeitgebern;employers
 lehnen;lean
 ausgetragen;held
 Erfurt;Erfurt
 Lachen;Laugh
 Strand;Beach
 mißbraucht;misused
 Gründer;Founder
 Ruhm;Fame
 extra;extra
 Parkett;Parquet
 abgebrochen;canceled
 zuweilen;sometimes
 Wolken;clouds
 Spezialisten;specialists
 wählt;chooses
 Datei;File
 Areal;area
 Stammdaten;Base data
 Hang;Hillside
 gespart;saved
 russischer;Russian
 Unter;Under
 anderem;others
 größerer;greater
 Heroin;Heroin
 Bestätigung;Confirmation
 Ahnung;Idea
 Beobachtung;Observation
 Die;The
 Zeit;Time
 Mittelfeld;Midfield
 Trauer;mourning
 sonstigen;other
 Florida;Florida
 töten;kill
 Toleranz;Tolerance
 strategischen;strategic
 beurteilt;assessed
 Defizite;deficits
 Gedächtnis;Memory
 Behinderte;Disabled person
 Antonio;Antonio
 Teheran;Tehran
 Daimler;Daimler
 grauen;gray
 vollzogen;completed
 Tschernobyl;Chernobyl
 auf;on
 keinen;no
 Fall;Case
 sechziger;sixties
 Jahren;years
 Vorstandsvorsitzender;CEO
 angehoben;raised
 Wahrnehmung;Perception
 Schwestern;sisters
 Weiterbildung;Further education
 Kategorie;Category
 gestört;disturbed
 berührt;touched
 Ortsbeirat;town council
 umsetzen;realize
 Menü;Menu
 gespannt;curious
 Unmut;displeasure
 Wohnen;Housing
 o;O
 AFP;AFP
 überfallen;assaulted
 verabschiedete;adopted
 keine;no
 Rede;Speech
 radikalen;radical
 übliche;standard
 gestürzt;overthrown
 Zeitschriften;magazines
 Olympiasieger;Olympic champion
 Erneuerung;Renovation
 Venedig;Venice
 Axel;Axel
 mittelfristig;in the medium term
 Verordnung;Regulation
 moralischen;moral
 Bar;Bar
 Kloster;Monastery
 vermißt;missing
 Einem;a
 Staub;Dust
 betreten;to enter
 S-Bahn;Train
 Istanbul;Istanbul
 illegale;illegal
 angekündigte;announced
 gewährleisten;guarantee
 Schmerz;Pain
 Zeitgenossen;contemporaries
 Elend;Misery
 Erdbeben;Earthquake
 gewöhnt;used
 obersten;top
 schlugen;beat
 bestens;well
 basiert;based
 Summen;Buzz
 jeweilige;respective
 abgelöst;replaced
 potentiellen;potential
 erhebt;rises
 Potsdamer;Potsdamer
 erneuten;re
 decken;cover
 verlautete;was reported
 Theaters;theater
 Wissenschaftlern;scientists
 Na;N / A
 Künstlerin;Artist
 engagieren;engage
 scharfe;sharp
 kalten;cold
 entzogen;withdrawn
 bedeckt;covered
 Benzin;Petrol
 Störungen;disorders
 Seither;Since
 Joschka;Joschka
 Fischer;Fischer
 Diktatur;Dictatorship
 Kanal;Channel
 Hansestadt;Hanseatic city
 günstige;favorable
 getestet;tested
 Attentat;Attack
 Beck;Beck
 Lübeck;Lübeck
 Sir;Sir
 Pech;Bad luck
 verbieten;to forbid
 Eier;eggs
 zeitlich;time
 Libanon;Lebanon
 angeblichen;alleged
 verwaltet;managed
 vorsieht;providing
 Holocaust;Holocaust
 Untergang;Downfall
 spannend;exciting
 umgewandelt;converted
 zuwenig;too little
 mächtigen;powerful
 P.;P .
 verwandeln;transform
 zukommen;get
 Rentenmarkt;Bond market
 Komponist;Composer
 Aktivität;Activity
 Schwerpunkte;Priorities
 einbringen;bring in
 Zwang;Force
 unterstellt;assumed
 dauerhaft;permanently
 Einträge;entries
 sichtlich;clear
 Schmuck;Jewellery
 Romane;Fiction
 Atem;Breath
 Uraufführung;Premiere
 Beträge;amounts
 dasselbe;the same thing
 behauptete;claimed
 angehört;belongs
 BUND;FEDERATION
 klingen;sound
 Gene;genes
 verheiratet;married
 Zaire;Zaire
 Ansätze;Approaches
 irgend;some
 Archiv;Archive
 BASF;BASF
 Resonanz;Resonance
 enorme;enormous
 Landwirte;farmers
 Handwerker;Artisans
 Algerien;Algeria
 Reiz;irritable
 Plattform;Platform
 Telefonnummer;Telephone number
 Einschränkung;restriction
 Zagreb;Zagreb
 Beweise;Proofs
 Erstellung;creation
 historisch;historical
 BRD;FRG
 Burg;Castle
 Anfragen;Requests
 Kriegsende;End of the war
 Stockholm;Stockholm
 Anweisung;instruction
 Kreises;circle
 verpflichten;undertake
 Hölle;Hell
 Betrachter;viewer
 Vermieter;Landlord
 Beitritt;Accession
 Rechtsprechung;jurisprudence
 altes;old one
 Anlauf;start-up
 Reichtum;Wealth
 Persönlichkeiten;personalities
 reagierten;reacted
 Blüm;Blum
 fit;fit
 beherrschen;dominate
 Markieren;To mark
 ginge;would
 verleihen;to lend
 analysiert;analyzed
 Den;The
 Haag;Hague
 heiligen;holy
 Eingabe;Input
 enormen;enormous
 Einfluss;Influence
 Konfrontation;Confrontation
 Kairo;Cairo
 Kämpfen;Fight
 tschechischen;Czech
 beschäftigte;employed
 typische;typical
 Zuerst;First
 Dritten;third
 Welt;World
 Bedürfnisse;Needs
 empört;outraged
 Befehl;Command
 Operationen;operations
 Gemüse;Vegetables
 Aachen;Aachen
 langjährige;many years
 verweigern;deny
 veränderte;altered
 zahlreicher;more numerous
 beendete;ended
 Massaker;Massacre
 Mordes;murder
 korrigiert;corrected
 eingestuft;classified
 Borussia;Borussia
 Dortmund;Dortmund
 ausgefallen;failed
 Typen;types
 anstelle;instead
 CDU/CSU;CDU / CSU
 Illusion;Illusion
 Grunde;Reasons
 Landesbank;Landesbank
 James;James
 Organisatoren;organizers
 Klärung;Clarification
 daheim;home
 umzusetzen;implement
 Endlich;Finally
 Fach;Subject
 Landsleute;Countrymen
 realen;real
 Poesie;Poetry
 Bahnen;tracks
 eingereicht;filed
 wirtschaftlicher;economic
 Berger;Berger
 stellvertretenden;deputy
 Gremien;bodies
 Konzeption;conception
 Wirtschaftswachstum;Economic growth
 Zustände;Conditions
 AOL;AOL
 Euphorie;Euphoria
 Libero;Libero
 umgeben;surround
 langfristige;long-term
 staatlicher;government
 sexuellen;sexual
 Gebäuden;buildings
 bunte;colorful
 Duell;Duel
 Fahrgäste;passengers
 Südamerika;South America
 Spektrum;Spectrum
 verschwindet;disappears
 half;helped
 Charles;Charles
 olympischen;Olympic
 rot;red
 Staatsbürgerschaft;Citizenship
 Einkauf;Shopping
 verlegen;embarrassed
 Traditionen;traditions
 neunziger;nineties
 Jahre;years
 Neuregelung;new regulation
 verhängt;imposed
 gedrückt;pressed
 Zusammensetzung;Composition
 wahrgenommen;perceived
 Fuchs;Fox
 ordentlich;neat
 Marken;Brands
 evangelische;Protestant
 KG;KG
 gedeckt;covered
 hierbei;this
 überfordert;Overwhelmed
 antwortet;responds
 Einordnung;Classification
 Satelliten;satellite
 Sektor;Sector
 Paket;Package
 Charlotte;Charlotte
 günstiger;favorable
 befragt;questioned
 verwickelt;involved
 freitags;Fridays
 allerlei;all kinds
 Verpflichtungen;commitments
 Ministerien;ministries
 geltende;applicable
 iranischen;Iranian
 Flexibilität;Flexibility
 problemlos;easily
